Street Address,Suite/Apartment,City,State Abbreviation,Zip Code,RDI,CMRA,Detail Url
243 E 5th Ave,,Anchorage,AK,99501,Commercial,Y,https://www.anytimemailbox.com/s/anchorage-243-e-5th-ave
750 W Dimond Blvd,Ste 103,Anchorage,AK,99515,Commercial,Y,https://www.anytimemailbox.com/s/anchorage-750-w-dimond-blvd
4900 Palmer-Wasilla Hwy,Ste 101,Wasilla,AK,99654,Commercial,Y,https://www.anytimemailbox.com/s/wasilla-4900-palmer-wasilla-highway
