Street Address,City,State Abbreviation,Zip Code,Detail Url
1930 18th St NW,Washington,DC,20009,https://www.anytimemailbox.com/s/washington-1930-18th-street-nw
6218 Georgia Ave N.W.,Washington,DC,20011,https://www.anytimemailbox.com/s/washington-6218-georgia-avenue-nw
1235 Pennsylvania Ave SE,Washington,DC,20003,https://www.anytimemailbox.com/s/washington-1235-pennsylvania-ave-se
