Street Address,City,State Abbreviation,Zip Code,Detail Url,RDI,CMRA
243 E 5th Ave,Anchorage,AK,99501,https://www.anytimemailbox.com/s/anchorage-243-e-5th-ave,Commercial,Y
750 W Dimond Blvd,Anchorage,AK,99515,https://www.anytimemailbox.com/s/anchorage-750-w-dimond-blvd,Commercial,N
4900 Palmer-Wasilla Hwy,Wasilla,AK,99654,https://www.anytimemailbox.com/s/wasilla-4900-palmer-wasilla-highway,Commercial,N
